date,spend,permits,permit_val,starts,completions,manufactured,new_for_sale,months_supply,emratio,pop_level,gdp,mortgage_rate,fed_fund_rate,disp_income,pm_save,consump_durable,new_sold
1993-01-01,194150,989,5383.028,1091,975.0,248,265,5.4,61.4,193962,99.75996347,7.9925,2.66,7237.6,425.6,538.1,596
1993-02-01,194689,953,5844.533,1063,1043.0,248,263,5.3,61.4,194108,99.67923759,7.6825,3.25,7271.8,441.5,524.2,604
1993-03-01,190185,881,8227.729,950,983.0,241,268,5.4,61.5,194248,99.59835725,7.495,3.65,7249.2,439.0,521.2,602
1993-04-01,198296,922,8918.858,1110,1067.0,241,270,4.7,61.5,194398,99.52544209,7.472,3.31,7286.8,436.4,543.0,701
1993-05-01,198835,911,8320.702,1128,973.0,240,273,5.3,61.7,194549,99.4661722,7.465,3.01,7276.3,415.8,552.0,626
1993-06-01,203175,932,9603.046,1081,1017.0,246,276,5.2,61.8,194719,99.42641502,7.4175,3.33,7262.9,390.9,548.6,653
1993-07-01,208760,977,8734.224,1086,956.0,253,278,5.3,61.8,194882,99.41370061,7.206,3.27,7281.2,382.7,558.6,655
1993-08-01,212238,1000,9023.796,1162,1084.0,256,286,5.5,62.0,195063,99.43512094,7.1125,3.07,7291.8,386.5,551.5,645
1993-09-01,214446,1028,8841.998,1143,1047.0,263,290,4.9,61.7,195259,99.49312866,6.915,3.25,7271.9,347.5,559.8,726
1993-10-01,214778,1071,8596.71,1209,1078.0,266,291,5.0,61.8,195444,99.57868839,6.834,3.19,7236.4,315.9,568.9,704
1993-11-01,227235,1125,8045.886,1228,1102.0,275,293,4.8,61.9,195625,99.6791243,7.155,3.15,7256.4,317.6,574.2,769
1993-12-01,235648,1161,7578.11,1316,1129.0,281,295,4.5,62.0,195794,99.78374668,7.172,3.07,7503.7,472.7,578.3,812
1994-01-01,238612,1112,6370.524,1140,1083.0,296,294,5.9,62.2,195953,99.88819831,7.06,2.85,7363.1,362.4,579.6,619
1994-02-01,236577,1065,6978.472,1133,1198.0,293,292,5.0,62.3,196090,99.99088616,7.1525,3.25,7377.2,335.9,593.3,686
1994-03-01,235150,1078,10501.281,1306,1091.0,298,296,4.8,62.1,196213,100.0892014,7.675,3.31,7401.7,352.8,593.6,747
1994-04-01,244746,1084,10385.227,1206,1209.0,294,296,5.2,62.3,196363,100.1756416,8.316,3.64,7402.0,332.0,607.0,692
1994-05-01,244056,1110,10980.942,1244,1242.0,297,301,5.3,62.5,196510,100.2419058,8.5975,3.73,7487.4,399.4,588.9,691
1994-06-01,244032,1067,11267.133,1193,1149.0,299,316,6.2,62.3,196693,100.2836199,8.3975,4.33,7475.5,362.9,600.3,621
1994-07-01,245463,1041,9244.248,1231,1170.0,301,318,6.3,62.3,196859,100.3062722,8.614,3.82,7481.7,369.0,602.1,628
